"","sibs","age","incom16","reg16","res16","pasei10","masei10","granborn","family16","age_num","sibs_num","pasei10_num","masei10_num"
"1998","1",32,"below average","middle atlantic","in open country but not on a farm","36.2","63.7","none","both own mother and father",32,1,36.2,63.7
"2000","5",59,"above average","middle atlantic","in a suburb near a large city","92.8","71.40000000000001","one","both own mother and father",59,5,92.8,71.4
"2004","4",32,"below average","middle atlantic","in open country but not on a farm","71.7","82.5","three","both own mother and father",32,4,71.7,82.5
"2005","1",22,"below average","foreign","in a medium-size city (50,000-250,000)","67.7","86.5","four","both own mother and father",22,1,67.7,86.5
"2007","3",52,"above average","middle atlantic","farm","39.7","73","none","both own mother and father",52,3,39.7,73
"2008","2",27,"above average","middle atlantic","in a suburb near a large city","38.8","80.90000000000001","two","both own mother and father",27,2,38.8,80.9
"2009","3",77,"below average","middle atlantic","in a small city or town (under 50,000)","17.5","iap","none","both own mother and father",77,3,17.5,NA
"2011","2",28,"above average","middle atlantic","in a small city or town (under 50,000)","85","89.40000000000001","none","both own mother and father",28,2,85,89.4
"2013","8",76,"average","east north central","farm","67.7","iap","none","both own mother and father",76,8,67.7,NA
"2015","0",35,"above average","middle atlantic","in a large city (over 250,000)","iap","67.7","none","both own mother and father",35,0,NA,67.7
"2016","1",63,"below average","middle atlantic","in a small city or town (under 50,000)","65.3","21.8","two","both own mother and father",63,1,65.3,21.8
"2022","1",67,"below average","foreign","in a large city (over 250,000)","86.09999999999999","17.5","four","both own mother and father",67,1,86.1,17.5
"2023","1",72,"below average","middle atlantic","in a small city or town (under 50,000)","39.7","39.7","iap","both own mother and father",72,1,39.7,39.7
"2026","6",70,"average","west north central","in a suburb near a large city","48.4","14.8","one","both own mother and father",70,6,48.4,14.8
"2027","3",45,"average","middle atlantic","in a large city (over 250,000)","25.2","41.1","none","both own mother and father",45,3,25.2,41.1
"2028","1",31,"average","middle atlantic","in open country but not on a farm","iap","25.7","none","both own mother and father",31,1,NA,25.7
"2029","5",71,"below average","new england","farm","50.1","84.2","none","both own mother and father",71,5,50.1,84.2
"2030","0",43,"average","foreign","in a large city (over 250,000)","39.2","14","four","both own mother and father",43,0,39.2,14
"2032","1",51,"above average","south atlantic","in a suburb near a large city","91.90000000000001","82.5","none","both own mother and father",51,1,91.9,82.5
"2034","2",54,"above average","mountain","in open country but not on a farm","84","59.8","none","both own mother and father",54,2,84,59.8
"2035","4",40,"average","middle atlantic","in open country but not on a farm","75.5","41.1","none","both own mother and father",40,4,75.5,41.1
"2037","2",47,"average","middle atlantic","in a small city or town (under 50,000)","28.7","38.8","none","both own mother and father",47,2,28.7,38.8
"2038","0",88,"below average","middle atlantic","in a small city or town (under 50,000)","23.3","26.8","none","both own mother and father",88,0,23.3,26.8
"2040","3",46,"average","middle atlantic","in a small city or town (under 50,000)","20.7","76.3","none","both own mother and father",46,3,20.7,76.3
"2041","9",78,"below average","middle atlantic","in a small city or town (under 50,000)","39.2","iap","two","both own mother and father",78,9,39.2,NA
"2042","2",55,"below average","middle atlantic","in a small city or town (under 50,000)","62.7","24.6","none","both own mother and father",55,2,62.7,24.6
"2043","2",28,"average","middle atlantic","in a small city or town (under 50,000)","53.7","41","none","both own mother and father",28,2,53.7,41
"2044","1",56,"average","middle atlantic","in a small city or town (under 50,000)","21.5","13.6","none","both own mother and father",56,1,21.5,13.6
"2045","2",64,"below average","east north central","in a small city or town (under 50,000)","32","46.6","none","both own mother and father",64,2,32,46.6
"2053","2",29,"average","middle atlantic","in a medium-size city (50,000-250,000)","32.6","58.4","two","both own mother and father",29,2,32.6,58.4
"2054","1",60,"below average","middle atlantic","in a large city (over 250,000)","39.2","iap","four","both own mother and father",60,1,39.2,NA
"2055","2",40,"average","middle atlantic","in a small city or town (under 50,000)","iap","37.2","none","both own mother and father",40,2,NA,37.2
"2058","2",28,"average","middle atlantic","in a suburb near a large city","67.7","59.1","none","both own mother and father",28,2,67.7,59.1
"2059","0",26,"average","middle atlantic","in a medium-size city (50,000-250,000)","38.3","57.8","none","both own mother and father",26,0,38.3,57.8
"2060","9",65,"average","middle atlantic","in a suburb near a large city","59.8","iap","none","both own mother and father",65,9,59.8,NA
"2061","1",66,"below average","middle atlantic","in a small city or town (under 50,000)","iap","24.2","none","both own mother and father",66,1,NA,24.2
"2062","4",82,"below average","east north central","in a small city or town (under 50,000)","39.9","iap","none","both own mother and father",82,4,39.9,NA
"2063","3",63,"average","middle atlantic","in a suburb near a large city","39.7","iap","one","both own mother and father",63,3,39.7,NA
"2064","0",52,"far above average","pacific","in a suburb near a large city","32","31.9","none","both own mother and father",52,0,32,31.9
"2065","2",49,"average","middle atlantic","in a suburb near a large city","46.2","35.8","none","both own mother and father",49,2,46.2,35.8
"2066","5",38,"average","middle atlantic","in a small city or town (under 50,000)","38.4","84.2","none","both own mother and father",38,5,38.4,84.2
"2067","7",67,"far below average","middle atlantic","in a suburb near a large city","25.2","13.6","none","both own mother and father",67,7,25.2,13.6
"2069","5",55,"average","south atlantic","in a small city or town (under 50,000)","32","20.7","none","both own mother and father",55,5,32,20.7
"2070","4",70,"below average","south atlantic","in a small city or town (under 50,000)","iap","iap","none","both own mother and father",70,4,NA,NA
"2072","1",70,"average","foreign","in a small city or town (under 50,000)","50.4","iap","none","both own mother and father",70,1,50.4,NA
"2073","2",20,"below average","south atlantic","in a small city or town (under 50,000)","24.1","iap","four","both own mother and father",20,2,24.1,NA
"2075","2",44,"average","middle atlantic","in a suburb near a large city","33.9","81","none","both own mother and father",44,2,33.9,81
"2076","3",32,"average","south atlantic","in a medium-size city (50,000-250,000)","iap","iap","none","both own mother and father",32,3,NA,NA
"2077","2",59,"average","south atlantic","in open country but not on a farm","28.3","38.8","none","both own mother and father",59,2,28.3,38.8
"2078","8",74,"below average","west north central","farm","19.7","iap","none","both own mother and father",74,8,19.7,NA
"2081","3",61,"above average","middle atlantic","in a small city or town (under 50,000)","68.59999999999999","67.7","two","both own mother and father",61,3,68.6,67.7
"2082","4",74,"below average","south atlantic","in open country but not on a farm","31.2","26.8","none","both own mother and father",74,4,31.2,26.8
"2084","6",79,"far below average","south atlantic","in a small city or town (under 50,000)","32","13.2","none","both own mother and father",79,6,32,13.2
"2089","4",40,"far below average","south atlantic","in a small city or town (under 50,000)","32.6","iap","none","both own mother and father",40,4,32.6,NA
"2091","2",49,"far below average","south atlantic","in open country but not on a farm","23.3","19.6","none","both own mother and father",49,2,23.3,19.6
"2092","5",46,"average","south atlantic","in a small city or town (under 50,000)","32","24.2","none","both own mother and father",46,5,32,24.2
"2094","2",19,"average","south atlantic","farm","37.4","iap","none","both own mother and father",19,2,37.4,NA
"2095","1",37,"above average","middle atlantic","in a suburb near a large city","46","39.7","none","both own mother and father",37,1,46,39.7
"2096","3",60,"below average","south atlantic","farm","43","23.8","none","both own mother and father",60,3,43,23.8
"2097","3",49,"above average","south atlantic","in open country but not on a farm","32","24.6","none","both own mother and father",49,3,32,24.6
"2098","11",55,"average","south atlantic","in open country but not on a farm","17.5","12.6","none","both own mother and father",55,11,17.5,12.6
"2099","4",60,"average","south atlantic","in a small city or town (under 50,000)","20.7","30.9","three","both own mother and father",60,4,20.7,30.9
"2103","0",37,"average","south atlantic","in a small city or town (under 50,000)","iap","21.6","none","both own mother and father",37,0,NA,21.6
"2104","3",83,"average","south atlantic","farm","62","iap","two","both own mother and father",83,3,62,NA
"2105","1",63,"average","south atlantic","in open country but not on a farm","35.3","39.7","iap","both own mother and father",63,1,35.3,39.7
"2107","2",26,"below average","middle atlantic","in a small city or town (under 50,000)","28.7","12.6","four","both own mother and father",26,2,28.7,12.6
"2108","4",29,"above average","south atlantic","in open country but not on a farm","iap","iap","four","both own mother and father",29,4,NA,NA
"2109","3",24,"average","south atlantic","in a small city or town (under 50,000)","28.7","iap","none","both own mother and father",24,3,28.7,NA
"2110","1",65,"below average","south atlantic","in open country but not on a farm","35.3","13.2","none","both own mother and father",65,1,35.3,13.2
"2111","5",44,"average","south atlantic","in open country but not on a farm","32","12.6","iap","both own mother and father",44,5,32,12.6
"2112","3",55,"above average","south atlantic","in open country but not on a farm","36.2","21.8","none","both own mother and father",55,3,36.2,21.8
"2113","2",71,"far below average","south atlantic","in a large city (over 250,000)","77.40000000000001","iap","iap","both own mother and father",71,2,77.4,NA
"2114","4",64,"above average","south atlantic","in a suburb near a large city","74.59999999999999","iap","none","both own mother and father",64,4,74.6,NA
"2116","3",69,"average","south atlantic","in a medium-size city (50,000-250,000)","31.2","35.8","two","both own mother and father",69,3,31.2,35.8
"2117","2",70,"average","south atlantic","in a medium-size city (50,000-250,000)","67.7","37.2","three","both own mother and father",70,2,67.7,37.2
"2119","0",25,"far above average","south atlantic","in a large city (over 250,000)","iap","82.40000000000001","none","both own mother and father",25,0,NA,82.4
"2120","11",68,"average","south atlantic","in a suburb near a large city","66.40000000000001","27","none","both own mother and father",68,11,66.4,27
"2122","1",70,"average","south atlantic","in a suburb near a large city","32","iap","two","both own mother and father",70,1,32,NA
"2123","2",70,"below average","south atlantic","in a small city or town (under 50,000)","46.5","35.1","none","both own mother and father",70,2,46.5,35.1
"2125","2",36,"above average","south atlantic","in a suburb near a large city","61.2","38.3","none","both own mother and father",36,2,61.2,38.3
"2126","2",68,"below average","middle atlantic","in a suburb near a large city","57.8","38.8","none","both own mother and father",68,2,57.8,38.8
"2127","3",64,"average","middle atlantic","in a suburb near a large city","43","iap","none","both own mother and father",64,3,43,NA
"2128","1",57,"above average","south atlantic","in a medium-size city (50,000-250,000)","57.8","35.8","none","both own mother and father",57,1,57.8,35.8
"2129","2",79,"average","east north central","in a small city or town (under 50,000)","58.4","36.4","four","both own mother and father",79,2,58.4,36.4
"2130","5",69,"below average","middle atlantic","in a suburb near a large city","53.6","32.6","four","both own mother and father",69,5,53.6,32.6
"2131","1",66,"average","new england","in a small city or town (under 50,000)","84.5","38.3","two","both own mother and father",66,1,84.5,38.3
"2133","3",19,"average","south atlantic","in a small city or town (under 50,000)","52.3","iap","three","both own mother and father",19,3,52.3,NA
"2135","2",53,"average","foreign","in a small city or town (under 50,000)","84.2","iap","four","both own mother and father",53,2,84.2,NA
"2137","4",54,"average","south atlantic","in a medium-size city (50,000-250,000)","39.7","iap","two","both own mother and father",54,4,39.7,NA
"2141","6",73,"far below average","east south atlantic","farm","59","46.5","none","both own mother and father",73,6,59,46.5
"2142","9",71,"far below average","south atlantic","in open country but not on a farm","32","14","none","both own mother and father",71,9,32,14
"2143","1",68,"above average","pacific","farm","85.2","27","two","both own mother and father",68,1,85.2,27
"2144","1",69,"below average","south atlantic","farm","14","38.1","none","both own mother and father",69,1,14,38.1
"2148","6",72,"far below average","middle atlantic","farm","39.9","iap","iap","both own mother and father",72,6,39.9,NA
"2150","5",33,"above average","south atlantic","in open country but not on a farm","62","25.7","none","both own mother and father",33,5,62,25.7
"2152","5",81,"far below average","south atlantic","farm","39.9","46.5","none","both own mother and father",81,5,39.9,46.5
"2153","5",72,"below average","middle atlantic","in a small city or town (under 50,000)","32","iap","none","both own mother and father",72,5,32,NA
"2154","1",45,"average","south atlantic","in a small city or town (under 50,000)","28.7","76.3","none","both own mother and father",45,1,28.7,76.3
"2155","4",42,"far below average","south atlantic","in a small city or town (under 50,000)","17.1","17.1","none","both own mother and father",42,4,17.1,17.1
"2156","4",34,"above average","south atlantic","in a suburb near a large city","67.7","24.2","none","both own mother and father",34,4,67.7,24.2
"2158","1",68,"above average","south atlantic","in open country but not on a farm","75.5","iap","none","both own mother and father",68,1,75.5,NA
"2159","1",30,"average","south atlantic","in open country but not on a farm","26.8","28.7","none","both own mother and father",30,1,26.8,28.7
"2164","3",19,"average","south atlantic","in a small city or town (under 50,000)","46","iap","none","both own mother and father",19,3,46,NA
"2165","2",83,"average","south atlantic","in a small city or town (under 50,000)","80.09999999999999","84.2","none","both own mother and father",83,2,80.1,84.2
"2166","1",81,"average","south atlantic","in open country but not on a farm","43","37.6","none","both own mother and father",81,1,43,37.6
"2167","4",74,"below average","south atlantic","in a small city or town (under 50,000)","32","21.6","none","both own mother and father",74,4,32,21.6
"2169","3",62,"average","south atlantic","in a small city or town (under 50,000)","48.3","32","none","both own mother and father",62,3,48.3,32
"2170","3",41,"average","south atlantic","in a small city or town (under 50,000)","77.40000000000001","39.7","none","both own mother and father",41,3,77.4,39.7
"2171","1",19,"above average","south atlantic","in a suburb near a large city","60.2","87.90000000000001","four","both own mother and father",19,1,60.2,87.9
"2172","1",31,"above average","south atlantic","in open country but not on a farm","84.5","80.90000000000001","none","both own mother and father",31,1,84.5,80.9
"2173","1",20,"above average","south atlantic","in a suburb near a large city","74.59999999999999","80.90000000000001","none","both own mother and father",20,1,74.6,80.9
"2174","1",22,"far above average","foreign","in a large city (over 250,000)","79.40000000000001","iap","four","both own mother and father",22,1,79.4,NA
"2176","5",22,"average","south atlantic","in a small city or town (under 50,000)","42.9","iap","two","both own mother and father",22,5,42.9,NA
"2177","1",29,"below average","south atlantic","in a small city or town (under 50,000)","59.1","38.8","none","both own mother and father",29,1,59.1,38.8
"2178","1",20,"above average","south atlantic","in a suburb near a large city","43","29.4","none","both own mother and father",20,1,43,29.4
"2179","5",66,"average","foreign","in a large city (over 250,000)","36.2","iap","four","both own mother and father",66,5,36.2,NA
"2184","3",42,"average","south atlantic","farm","39.9","84.2","iap","both own mother and father",42,3,39.9,84.2
"2185","4",80,"above average","south atlantic","in a small city or town (under 50,000)","22.9","26.8","none","both own mother and father",80,4,22.9,26.8
"2186","2",54,"below average","south atlantic","in a small city or town (under 50,000)","46","iap","none","both own mother and father",54,2,46,NA
"2187","3",56,"average","south atlantic","in a small city or town (under 50,000)","82.5","80.90000000000001","none","both own mother and father",56,3,82.5,80.9
"2188","2",38,"average","south atlantic","farm","59.1","45.3","none","both own mother and father",38,2,59.1,45.3
"2189","2",60,"average","south atlantic","in a small city or town (under 50,000)","72.5","82.5","none","both own mother and father",60,2,72.5,82.5
"2190","1",75,"average","south atlantic","in a medium-size city (50,000-250,000)","68","84.2","none","both own mother and father",75,1,68,84.2
"2191","0",41,"average","south atlantic","in a medium-size city (50,000-250,000)","67.7","23.7","none","both own mother and father",41,0,67.7,23.7
"2192","2",62,"below average","south atlantic","in a small city or town (under 50,000)","27.7","39.2","two","both own mother and father",62,2,27.7,39.2
"2193","3",29,"average","south atlantic","in a medium-size city (50,000-250,000)","71.8","21.8","one","both own mother and father",29,3,71.8,21.8
"2194","6",82,"average","south atlantic","in open country but not on a farm","42.2","iap","none","both own mother and father",82,6,42.2,NA
"2195","7",76,"average","middle atlantic","in a suburb near a large city","25","35.8","none","both own mother and father",76,7,25,35.8
"2199","8",75,"far below average","south atlantic","in a small city or town (under 50,000)","25.2","38.8","one","both own mother and father",75,8,25.2,38.8
"2200","1",64,"above average","south atlantic","in open country but not on a farm","62","76.3","none","both own mother and father",64,1,62,76.3
"2201","2",81,"average","south atlantic","in a small city or town (under 50,000)","23.8","26.8","none","both own mother and father",81,2,23.8,26.8
"2202","2",63,"average","south atlantic","in a medium-size city (50,000-250,000)","35.8","39.7","none","both own mother and father",63,2,35.8,39.7
"2206","1",19,"average","south atlantic","farm","39.9","84.2","none","both own mother and father",19,1,39.9,84.2
"2208","3",73,"below average","south atlantic","farm","14","26.8","none","both own mother and father",73,3,14,26.8
"2210","1",45,"average","south atlantic","in a suburb near a large city","20.5","20.1","none","both own mother and father",45,1,20.5,20.1
"2214","4",29,"average","west north central","in a small city or town (under 50,000)","iap","iap","iap","both own mother and father",29,4,NA,NA
"2215","1",62,"average","south atlantic","in a small city or town (under 50,000)","65.3","13.2","none","both own mother and father",62,1,65.3,13.2
"2216","1",44,"average","south atlantic","farm","46.6","62.9","none","both own mother and father",44,1,46.6,62.9
"2217","0",67,"average","west north central","in a suburb near a large city","iap","20.8","none","both own mother and father",67,0,NA,20.8
"2218","3",58,"average","west south central","in a medium-size city (50,000-250,000)","50.4","32.6","don't know","both own mother and father",58,3,50.4,32.6
"2219","11",70,"average","south atlantic","farm","39.9","iap","none","both own mother and father",70,11,39.9,NA
"2221","5",61,"average","foreign","in a small city or town (under 50,000)","32","80.90000000000001","four","both own mother and father",61,5,32,80.9
"2222","1",40,"average","south atlantic","in a small city or town (under 50,000)","65.3","38.8","none","both own mother and father",40,1,65.3,38.8
"2223","1",19,"average","south atlantic","in open country but not on a farm","75.2","54.3","none","both own mother and father",19,1,75.2,54.3
"2225","4",71,"average","new england","in a suburb near a large city","46","26.8","three","both own mother and father",71,4,46,26.8
"2226","1",38,"below average","south atlantic","in a medium-size city (50,000-250,000)","59.1","iap","none","both own mother and father",38,1,59.1,NA
"2228","2",44,"below average","south atlantic","farm","39.9","24.2","none","both own mother and father",44,2,39.9,24.2
"2231","2",25,"below average","south atlantic","in a medium-size city (50,000-250,000)","iap","iap","none","both own mother and father",25,2,NA,NA
"2232","2",47,"average","south atlantic","in a small city or town (under 50,000)","20.9","13.2","none","both own mother and father",47,2,20.9,13.2
"2233","3",64,"don't know","south atlantic","in a small city or town (under 50,000)","50.4","iap","none","both own mother and father",64,3,50.4,NA
"2234","1",44,"below average","south atlantic","in a medium-size city (50,000-250,000)","41","21.6","none","both own mother and father",44,1,41,21.6
"2240","1",62,"average","new england","in a suburb near a large city","25.2","84.2","iap","both own mother and father",62,1,25.2,84.2
"2241","2",20,"average","south atlantic","in a small city or town (under 50,000)","23.3","iap","none","both own mother and father",20,2,23.3,NA
"2242","6",72,"average","south atlantic","in a medium-size city (50,000-250,000)","53.6","26.8","none","both own mother and father",72,6,53.6,26.8
"2243","1",48,"above average","south atlantic","in a suburb near a large city","65.3","37.2","none","both own mother and father",48,1,65.3,37.2
"2246","9",68,"below average","south atlantic","in a small city or town (under 50,000)","24.1","26.8","none","both own mother and father",68,9,24.1,26.8
"2247","4",64,"below average","south atlantic","in a small city or town (under 50,000)","36.4","13.3","none","both own mother and father",64,4,36.4,13.3
"2248","2",21,"below average","south atlantic","in a large city (over 250,000)","25.2","26.8","four","both own mother and father",21,2,25.2,26.8
"2251","1",30,"average","south atlantic","in open country but not on a farm","38.4","46.6","none","both own mother and father",30,1,38.4,46.6
"2254","9",61,"far below average","south atlantic","in a small city or town (under 50,000)","39.9","13.6","none","both own mother and father",61,9,39.9,13.6
"2255","4",35,"far above average","south atlantic","in a large city (over 250,000)","36.2","12.6","none","both own mother and father",35,4,36.2,12.6
"2259","14",61,"far below average","south atlantic","in a small city or town (under 50,000)","39.9","14","none","both own mother and father",61,14,39.9,14
"2260","2",65,"above average","pacific","in a small city or town (under 50,000)","44.6","iap","two","both own mother and father",65,2,44.6,NA
"2261","1",67,"average","middle atlantic","in a medium-size city (50,000-250,000)","33.9","12.6","none","both own mother and father",67,1,33.9,12.6
"2263","1",65,"average","new england","in a small city or town (under 50,000)","31.6","21.6","none","both own mother and father",65,1,31.6,21.6
"2264","4",65,"average","middle atlantic","in a small city or town (under 50,000)","18.6","35.8","none","both own mother and father",65,4,18.6,35.8
"2265","2",75,"below average","west north central","in a suburb near a large city","20.3","26.6","iap","both own mother and father",75,2,20.3,26.6
"2268","9",75,"below average","pacific","in a large city (over 250,000)","58.1","iap","two","both own mother and father",75,9,58.1,NA
"2269","9",75,"below average","pacific","in a large city (over 250,000)","48.4","iap","four","both own mother and father",75,9,48.4,NA
"2270","5",63,"average","south atlantic","in a medium-size city (50,000-250,000)","39.8","13.6","none","both own mother and father",63,5,39.8,13.6
"2271","10",44,"average","south atlantic","in a medium-size city (50,000-250,000)","iap","iap","none","both own mother and father",44,10,NA,NA
"2272","21",68,"below average","south atlantic","in a small city or town (under 50,000)","59.1","iap","none","both own mother and father",68,21,59.1,NA
"2276","5",78,"average","east north central","in a large city (over 250,000)","65.3","iap","none","both own mother and father",78,5,65.3,NA
"2278","3",68,"average","middle atlantic","in a small city or town (under 50,000)","39.7","38.8","none","both own mother and father",68,3,39.7,38.8
"2279","4",62,"average","middle atlantic","in a small city or town (under 50,000)","38.8","iap","none","both own mother and father",62,4,38.8,NA
"2283","1",34,"average","east south atlantic","in open country but not on a farm","38.8","21.8","none","both own mother and father",34,1,38.8,21.8
"2284","8",66,"below average","foreign","in a small city or town (under 50,000)","41","iap","four","both own mother and father",66,8,41,NA
"2287","2",38,"below average","south atlantic","in a medium-size city (50,000-250,000)","62","26.9","iap","both own mother and father",38,2,62,26.9
"2291","2",70,"average","south atlantic","in a suburb near a large city","43","39.7","four","both own mother and father",70,2,43,39.7
"2293","1",59,"average","south atlantic","farm","39.9","iap","none","both own mother and father",59,1,39.9,NA
"2294","4",35,"average","south atlantic","in a small city or town (under 50,000)","32","46.6","none","both own mother and father",35,4,32,46.6
"2295","3",68,"don't know","foreign","in a medium-size city (50,000-250,000)","68","13.2","four","both own mother and father",68,3,68,13.2
"2298","3",80,"below average","new england","in a small city or town (under 50,000)","32","iap","iap","both own mother and father",80,3,32,NA
"2299","1",74,"average","middle atlantic","in a small city or town (under 50,000)","37","21.6","iap","both own mother and father",74,1,37,21.6
"2300","4",74,"below average","south atlantic","farm","39.9","iap","none","both own mother and father",74,4,39.9,NA
"2301","5",53,"far below average","south atlantic","in open country but not on a farm","iap","12.6","none","both own mother and father",53,5,NA,12.6
"2303","1",38,"average","south atlantic","in open country but not on a farm","iap","iap","none","both own mother and father",38,1,NA,NA
"2304","3",70,"below average","south atlantic","in a medium-size city (50,000-250,000)","41","35.8","none","both own mother and father",70,3,41,35.8
"2308","5",44,"above average","south atlantic","in a suburb near a large city","26.8","46.6","none","both own mother and father",44,5,26.8,46.6
"2314","0",32,"below average","east north central","in a medium-size city (50,000-250,000)","29.6","62","none","both own mother and father",32,0,29.6,62
"2315","0",63,"above average","new england","in a suburb near a large city","46","61.4","four","both own mother and father",63,0,46,61.4
"2316","13",33,"below average","south atlantic","in open country but not on a farm","83.8","81","none","both own mother and father",33,13,83.8,81
"2317","1",68,"below average","south atlantic","in a small city or town (under 50,000)","65.3","13.6","none","both own mother and father",68,1,65.3,13.6
"2321","2",25,"average","west south central","in a medium-size city (50,000-250,000)","79.3","38.8","none","both own mother and father",25,2,79.3,38.8
"2322","2",26,"average","south atlantic","in a medium-size city (50,000-250,000)","31.1","24.6","none","both own mother and father",26,2,31.1,24.6
"2331","10",55,"average","south atlantic","farm","14","12.6","none","both own mother and father",55,10,14,12.6
"2334","7",35,"far below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",35,7,14,NA
"2335","2",65,"average","south atlantic","in a small city or town (under 50,000)","59.8","38.3","none","both own mother and father",65,2,59.8,38.3
"2336","3",27,"above average","middle atlantic","in a small city or town (under 50,000)","92.8","92.8","four","both own mother and father",27,3,92.8,92.8
"2337","1",43,"average","south atlantic","in a medium-size city (50,000-250,000)","35.3","80.90000000000001","none","both own mother and father",43,1,35.3,80.9
"2340","2",71,"average","middle atlantic","in a medium-size city (50,000-250,000)","31.6","46.5","none","both own mother and father",71,2,31.6,46.5
"2341","2",68,"above average","south atlantic","in a small city or town (under 50,000)","32","24.2","none","both own mother and father",68,2,32,24.2
"2342","5",37,"average","south atlantic","in a small city or town (under 50,000)","23.3","iap","none","both own mother and father",37,5,23.3,NA
"2343","1",31,"average","south atlantic","in a small city or town (under 50,000)","36.4","84.2","none","both own mother and father",31,1,36.4,84.2
"2345","skipped on web",55,"average","south atlantic","in a small city or town (under 50,000)","28.7","80.90000000000001","none","both own mother and father",55,NA,28.7,80.9
"2346","1",38,"average","middle atlantic","in a small city or town (under 50,000)","82.5","38.3","none","both own mother and father",38,1,82.5,38.3
"2348","4",27,"below average","south atlantic","in a small city or town (under 50,000)","87.90000000000001","36.9","none","both own mother and father",27,4,87.9,36.9
"2349","2",48,"average","west north central","in open country but not on a farm","36.4","24.6","none","both own mother and father",48,2,36.4,24.6
"2350","4",69,"above average","west north central","in a suburb near a large city","50.4","iap","iap","both own mother and father",69,4,50.4,NA
"2352","2",66,"above average","south atlantic","don't know","67.7","67.7","none","both own mother and father",66,2,67.7,67.7
"2353","2",82,"below average","south atlantic","in a small city or town (under 50,000)","27","13.6","none","both own mother and father",82,2,27,13.6
"2354","2",82,"average","south atlantic","in a large city (over 250,000)","53.6","35.1","none","both own mother and father",82,2,53.6,35.1
"2355","0",38,"average","south atlantic","in a medium-size city (50,000-250,000)","31.2","iap","four","both own mother and father",38,0,31.2,NA
"2356","3",65,"average","south atlantic","in a medium-size city (50,000-250,000)","53.6","62.9","none","both own mother and father",65,3,53.6,62.9
"2357","1",39,"average","south atlantic","in a large city (over 250,000)","82.5","80.90000000000001","none","both own mother and father",39,1,82.5,80.9
"2364","2",53,"average","south atlantic","in a large city (over 250,000)","62.6","33.4","none","both own mother and father",53,2,62.6,33.4
"2366","4",75,"average","middle atlantic","in a small city or town (under 50,000)","42.2","iap","don't know","both own mother and father",75,4,42.2,NA
"2367","1",47,"average","south atlantic","in a large city (over 250,000)","32","39.7","none","both own mother and father",47,1,32,39.7
"2368","1",50,"average","south atlantic","in a large city (over 250,000)","38.3","38.8","three","both own mother and father",50,1,38.3,38.8
"2369","2",56,"don't know","south atlantic","in a large city (over 250,000)","24","26.8","none","both own mother and father",56,2,24,26.8
"2370","9",64,"far below average","south atlantic","in a suburb near a large city","25.2","iap","none","both own mother and father",64,9,25.2,NA
"2371","2",74,"average","west north central","farm","86.5","iap","none","both own mother and father",74,2,86.5,NA
"2372","3",66,"average","south atlantic","in a large city (over 250,000)","39.7","15.8","none","both own mother and father",66,3,39.7,15.8
"2375","3",47,"average","foreign","in a small city or town (under 50,000)","46.5","iap","four","both own mother and father",47,3,46.5,NA
"2376","1",63,"average","east north central","in a small city or town (under 50,000)","39.7","39.7","two","both own mother and father",63,1,39.7,39.7
"2377","1",28,"average","pacific","in a large city (over 250,000)","31.2","12.6","don't know","both own mother and father",28,1,31.2,12.6
"2379","7",69,"above average","east north central","in a medium-size city (50,000-250,000)","20.8","iap","none","both own mother and father",69,7,20.8,NA
"2381","5",58,"average","foreign","in open country but not on a farm","52.3","43","four","both own mother and father",58,5,52.3,43
"2382","2",19,"above average","foreign","in open country but not on a farm","77.40000000000001","61.4","four","both own mother and father",19,2,77.4,61.4
"2383","2",69,"below average","west north central","in a suburb near a large city","67.7","77.40000000000001","none","both own mother and father",69,2,67.7,77.4
"2384","2",43,"average","south atlantic","in a suburb near a large city","83.8","84.2","none","both own mother and father",43,2,83.8,84.2
"2386","2",52,"average","south atlantic","in a medium-size city (50,000-250,000)","46.5","57.5","four","both own mother and father",52,2,46.5,57.5
"2387","2",49,"average","new england","in a small city or town (under 50,000)","70.3","87.3","one","both own mother and father",49,2,70.3,87.3
"2388","5",65,"below average","pacific","in a suburb near a large city","67.8","59.1","none","both own mother and father",65,5,67.8,59.1
"2389","1",48,"above average","new england","in a suburb near a large city","84.3","iap","none","both own mother and father",48,1,84.3,NA
"2391","1",56,"below average","middle atlantic","in a suburb near a large city","81.59999999999999","39.7","none","both own mother and father",56,1,81.6,39.7
"2392","0",71,"far above average","new england","in a small city or town (under 50,000)","52.5","62.7","two","both own mother and father",71,0,52.5,62.7
"2393","3",47,"far above average","south atlantic","in a medium-size city (50,000-250,000)","30.8","34.6","none","both own mother and father",47,3,30.8,34.6
"2394","2",41,"above average","west south central","in a suburb near a large city","71.8","38.8","none","both own mother and father",41,2,71.8,38.8
"2396","2",59,"far above average","middle atlantic","in a suburb near a large city","76.3","84.2","none","both own mother and father",59,2,76.3,84.2
"2401","4",71,"far below average","south atlantic","in a small city or town (under 50,000)","38.2","13.6","none","both own mother and father",71,4,38.2,13.6
"2402","2",71,"far below average","middle atlantic","in a suburb near a large city","84","38.8","none","both own mother and father",71,2,84,38.8
"2403","2",64,"above average","middle atlantic","in a suburb near a large city","81","38.3","four","both own mother and father",64,2,81,38.3
